sku_code,gender,category,product,fabric_type,composition,gsm_range,garment_weight_kg,accessory_profile,process_profile,fabric_co2_factor_kg_per_kg,accessory_co2_kg,process_co2_kg,estimated_total_co2_kg,data_source
ZD-SYN-00035,Unisex,Top,Tank Top,Single Jersey,100% Cotton,140-180,0.18,Label Set,Performance Route,4.65,0.03,2.75,3.617,synthetic_v1
ZD-SYN-00036,Men,Top,Basic T-Shirt,Pique Knit,95% Cotton / 5% Elastane,180-220,0.199,Label + Drawcord,Dyed Knit Route,5.1,0.08,2.35,3.445,synthetic_v1
ZD-SYN-00037,Men,Outerwear,Hoodie,Fleece,70% Cotton / 30% Polyester,240-320,0.53,Label Set,Dyed Knit Route,5.8,0.03,2.35,5.454,synthetic_v1
ZD-SYN-00038,Women,Outerwear,Sweatshirt,French Terry,80% Cotton / 20% Polyester,220-300,0.457,Label + Drawcord,Standard Knit Route,5.55,0.08,1.95,4.566,synthetic_v1
ZD-SYN-00039,Unisex,Bottom,Jogger,French Terry,80% Cotton / 20% Polyester,220-300,0.413,Label Set,Performance Route,5.55,0.03,2.75,5.072,synthetic_v1
ZD-SYN-00040,Women,Top,Long Sleeve Tee,Rib Knit,97% Cotton / 3% Elastane,180-260,0.296,Label + Hangtag,Standard Knit Route,5.0,0.05,1.95,3.48,synthetic_v1
ZD-SYN-00041,Men,Top,Fashion Tee,Rib Knit,97% Cotton / 3% Elastane,180-260,0.209,Label Set,Performance Route,5.0,0.03,2.75,3.825,synthetic_v1
ZD-SYN-00042,Unisex,Outerwear,Hoodie,Pique Knit,95% Cotton / 5% Elastane,180-220,0.475,Label Set,Performance Route,5.1,0.03,2.75,5.202,synthetic_v1
ZD-SYN-00043,Men,Activewear,Active Legging,French Terry,80% Cotton / 20% Polyester,220-300,0.237,Label + Button Set,Standard Knit Route,5.55,0.07,1.95,3.335,synthetic_v1
ZD-SYN-00044,Women,Bottom,Legging,Interlock,88% Polyester / 12% Elastane,180-240,0.255,Label Set,Standard Knit Route,6.2,0.03,1.95,3.561,synthetic_v1
ZD-SYN-00045,Unisex,Top,Basic T-Shirt,Pique Knit,95% Cotton / 5% Elastane,180-220,0.235,Label + Button Set,Standard Knit Route,5.1,0.07,1.95,3.218,synthetic_v1
ZD-SYN-00046,Women,Top,Fashion Tee,Interlock,88% Polyester / 12% Elastane,180-240,0.207,Label + Hangtag,Dyed Knit Route,6.2,0.05,2.35,3.683,synthetic_v1
ZD-SYN-00047,Unisex,Activewear,Performance Tee,Rib Knit,97% Cotton / 3% Elastane,180-260,0.15,Label + Button Set,Performance Route,5.0,0.07,2.75,3.57,synthetic_v1
ZD-SYN-00048,Men,Bottom,Legging,Single Jersey,100% Cotton,140-180,0.234,Label + Hangtag,Dyed Knit Route,4.65,0.05,2.35,3.488,synthetic_v1
ZD-SYN-00049,Men,Bottom,Legging,French Terry,80% Cotton / 20% Polyester,220-300,0.259,Label + Button Set,Performance Route,5.55,0.07,2.75,4.257,synthetic_v1
ZD-SYN-00050,Unisex,Top,Basic T-Shirt,Fleece,70% Cotton / 30% Polyester,240-320,0.16,Label + Button Set,Standard Knit Route,5.8,0.07,1.95,2.948,synthetic_v1
ZD-SYN-00051,Men,Bottom,Legging,French Terry,80% Cotton / 20% Polyester,220-300,0.285,Label + Drawcord,Performance Route,5.55,0.08,2.75,4.412,synthetic_v1
ZD-SYN-00052,Men,Top,Basic T-Shirt,French Terry,80% Cotton / 20% Polyester,220-300,0.163,Label + Hangtag,Performance Route,5.55,0.05,2.75,3.705,synthetic_v1
ZD-SYN-00053,Women,Activewear,Training Top,Pique Knit,95% Cotton / 5% Elastane,180-220,0.204,Label Set,Dyed Knit Route,5.1,0.03,2.35,3.42,synthetic_v1
ZD-SYN-00054,Men,Top,Polo Shirt,French Terry,80% Cotton / 20% Polyester,220-300,0.23,Label + Hangtag,Performance Route,5.55,0.05,2.75,4.076,synthetic_v1
ZD-SYN-00055,Unisex,Outerwear,Zip Hoodie,Pique Knit,95% Cotton / 5% Elastane,180-220,0.793,Label + Hangtag,Standard Knit Route,5.1,0.05,1.95,6.044,synthetic_v1
ZD-SYN-00056,Men,Bottom,Sweatpant,Pique Knit,95% Cotton / 5% Elastane,180-220,0.54,Label + Button Set,Dyed Knit Route,5.1,0.07,2.35,5.174,synthetic_v1
ZD-SYN-00057,Men,Bottom,Legging,French Terry,80% Cotton / 20% Polyester,220-300,0.305,Label Set,Dyed Knit Route,5.55,0.03,2.35,4.073,synthetic_v1
ZD-SYN-00058,Men,Outerwear,Hoodie,Fleece,70% Cotton / 30% Polyester,240-320,0.696,Label + Button Set,Dyed Knit Route,5.8,0.07,2.35,6.457,synthetic_v1
ZD-SYN-00059,Men,Bottom,Shorts,French Terry,80% Cotton / 20% Polyester,220-300,0.213,Label + Hangtag,Dyed Knit Route,5.55,0.05,2.35,3.582,synthetic_v1
ZD-SYN-00060,Women,Top,Polo Shirt,French Terry,80% Cotton / 20% Polyester,220-300,0.318,Label + Drawcord,Performance Route,5.55,0.08,2.75,4.595,synthetic_v1
ZD-SYN-00061,Men,Activewear,Performance Tee,Interlock,88% Polyester / 12% Elastane,180-240,0.236,Label + Hangtag,Performance Route,6.2,0.05,2.75,4.263,synthetic_v1
ZD-SYN-00062,Men,Activewear,Performance Tee,Rib Knit,97% Cotton / 3% Elastane,180-260,0.213,Label + Drawcord,Dyed Knit Route,5.0,0.08,2.35,3.495,synthetic_v1
ZD-SYN-00063,Unisex,Activewear,Gym Short,Rib Knit,97% Cotton / 3% Elastane,180-260,0.25,Label Set,Dyed Knit Route,5.0,0.03,2.35,3.63,synthetic_v1
ZD-SYN-00064,Men,Bottom,Legging,French Terry,80% Cotton / 20% Polyester,220-300,0.262,Label + Drawcord,Standard Knit Route,5.55,0.08,1.95,3.484,synthetic_v1
ZD-SYN-00065,Women,Bottom,Legging,Single Jersey,100% Cotton,140-180,0.238,Label + Button Set,Performance Route,4.65,0.07,2.75,3.927,synthetic_v1
ZD-SYN-00066,Unisex,Top,Polo Shirt,Interlock,88% Polyester / 12% Elastane,180-240,0.26,Label + Drawcord,Dyed Knit Route,6.2,0.08,2.35,4.042,synthetic_v1
ZD-SYN-00067,Men,Activewear,Training Top,Fleece,70% Cotton / 30% Polyester,240-320,0.25,Label + Drawcord,Performance Route,5.8,0.08,2.75,4.28,synthetic_v1
ZD-SYN-00068,Women,Bottom,Legging,Rib Knit,97% Cotton / 3% Elastane,180-260,0.234,Label Set,Dyed Knit Route,5.0,0.03,2.35,3.55,synthetic_v1
ZD-SYN-00069,Unisex,Outerwear,Zip Hoodie,French Terry,80% Cotton / 20% Polyester,220-300,0.633,Label + Button Set,Dyed Knit Route,5.55,0.07,2.35,5.933,synthetic_v1
ZD-SYN-00070,Unisex,Bottom,Sweatpant,Pique Knit,95% Cotton / 5% Elastane,180-220,0.483,Label Set,Dyed Knit Route,5.1,0.03,2.35,4.843,synthetic_v1
ZD-SYN-00071,Men,Activewear,Performance Tee,French Terry,80% Cotton / 20% Polyester,220-300,0.221,Label + Button Set,Standard Knit Route,5.55,0.07,1.95,3.247,synthetic_v1
ZD-SYN-00072,Men,Bottom,Jogger,Pique Knit,95% Cotton / 5% Elastane,180-220,0.52,Label + Drawcord,Performance Route,5.1,0.08,2.75,5.482,synthetic_v1
ZD-SYN-00073,Women,Top,Tank Top,French Terry,80% Cotton / 20% Polyester,220-300,0.156,Label + Hangtag,Performance Route,5.55,0.05,2.75,3.666,synthetic_v1
ZD-SYN-00074,Men,Outerwear,Sweatshirt,Pique Knit,95% Cotton / 5% Elastane,180-220,0.634,Label Set,Standard Knit Route,5.1,0.03,1.95,5.213,synthetic_v1
ZD-SYN-00075,Unisex,Bottom,Shorts,Rib Knit,97% Cotton / 3% Elastane,180-260,0.236,Label + Drawcord,Standard Knit Route,5.0,0.08,1.95,3.21,synthetic_v1
ZD-SYN-00076,Men,Top,Tank Top,Fleece,70% Cotton / 30% Polyester,240-320,0.149,Label + Button Set,Dyed Knit Route,5.8,0.07,2.35,3.284,synthetic_v1
ZD-SYN-00077,Women,Outerwear,Zip Hoodie,Pique Knit,95% Cotton / 5% Elastane,180-220,0.578,Label + Drawcord,Dyed Knit Route,5.1,0.08,2.35,5.378,synthetic_v1
ZD-SYN-00078,Unisex,Bottom,Legging,Fleece,70% Cotton / 30% Polyester,240-320,0.253,Label + Hangtag,Dyed Knit Route,5.8,0.05,2.35,3.867,synthetic_v1
ZD-SYN-00079,Women,Activewear,Training Top,Interlock,88% Polyester / 12% Elastane,180-240,0.17,Label + Button Set,Performance Route,6.2,0.07,2.75,3.874,synthetic_v1
ZD-SYN-00080,Women,Bottom,Shorts,French Terry,80% Cotton / 20% Polyester,220-300,0.201,Label + Hangtag,Performance Route,5.55,0.05,2.75,3.916,synthetic_v1
ZD-SYN-00081,Women,Outerwear,Sweatshirt,Rib Knit,97% Cotton / 3% Elastane,180-260,0.419,Label + Drawcord,Dyed Knit Route,5.0,0.08,2.35,4.525,synthetic_v1
ZD-SYN-00082,Unisex,Outerwear,Sweatshirt,French Terry,80% Cotton / 20% Polyester,220-300,0.514,Label Set,Performance Route,5.55,0.03,2.75,5.633,synthetic_v1
ZD-SYN-00083,Women,Top,Polo Shirt,Fleece,70% Cotton / 30% Polyester,240-320,0.295,Label + Drawcord,Performance Route,5.8,0.08,2.75,4.541,synthetic_v1
ZD-SYN-00084,Men,Bottom,Sweatpant,Interlock,88% Polyester / 12% Elastane,180-240,0.386,Label + Drawcord,Dyed Knit Route,6.2,0.08,2.35,4.823,synthetic_v1
ZD-SYN-00085,Unisex,Activewear,Gym Short,Pique Knit,95% Cotton / 5% Elastane,180-220,0.258,Label + Drawcord,Standard Knit Route,5.1,0.08,1.95,3.346,synthetic_v1
ZD-SYN-00086,Unisex,Top,Tank Top,Rib Knit,97% Cotton / 3% Elastane,180-260,0.151,Label Set,Standard Knit Route,5.0,0.03,1.95,2.735,synthetic_v1
ZD-SYN-00087,Men,Bottom,Sweatpant,Single Jersey,100% Cotton,140-180,0.445,Label + Button Set,Dyed Knit Route,4.65,0.07,2.35,4.489,synthetic_v1
ZD-SYN-00088,Women,Outerwear,Sweatshirt,Fleece,70% Cotton / 30% Polyester,240-320,0.476,Label + Button Set,Dyed Knit Route,5.8,0.07,2.35,5.181,synthetic_v1
ZD-SYN-00089,Men,Top,Tank Top,French Terry,80% Cotton / 20% Polyester,220-300,0.118,Label Set,Dyed Knit Route,5.55,0.03,2.35,3.035,synthetic_v1
ZD-SYN-00090,Men,Top,Basic T-Shirt,Pique Knit,95% Cotton / 5% Elastane,180-220,0.21,Label + Hangtag,Standard Knit Route,5.1,0.05,1.95,3.071,synthetic_v1
ZD-SYN-00091,Women,Bottom,Shorts,French Terry,80% Cotton / 20% Polyester,220-300,0.275,Label Set,Performance Route,5.55,0.03,2.75,4.306,synthetic_v1
ZD-SYN-00092,Women,Outerwear,Zip Hoodie,Interlock,88% Polyester / 12% Elastane,180-240,0.682,Label + Hangtag,Performance Route,6.2,0.05,2.75,7.028,synthetic_v1
ZD-SYN-00093,Women,Top,Fashion Tee,Single Jersey,100% Cotton,140-180,0.186,Label Set,Dyed Knit Route,4.65,0.03,2.35,3.245,synthetic_v1
ZD-SYN-00094,Unisex,Outerwear,Sweatshirt,Pique Knit,95% Cotton / 5% Elastane,180-220,0.607,Label Set,Performance Route,5.1,0.03,2.75,5.876,synthetic_v1
ZD-SYN-00095,Unisex,Bottom,Jogger,Interlock,88% Polyester / 12% Elastane,180-240,0.507,Label Set,Performance Route,6.2,0.03,2.75,5.923,synthetic_v1
ZD-SYN-00096,Unisex,Activewear,Gym Short,Interlock,88% Polyester / 12% Elastane,180-240,0.225,Label Set,Performance Route,6.2,0.03,2.75,4.175,synthetic_v1
ZD-SYN-00097,Women,Top,Tank Top,Single Jersey,100% Cotton,140-180,0.151,Label + Drawcord,Dyed Knit Route,4.65,0.08,2.35,3.132,synthetic_v1
ZD-SYN-00098,Men,Outerwear,Zip Hoodie,Fleece,70% Cotton / 30% Polyester,240-320,0.657,Label + Hangtag,Performance Route,5.8,0.05,2.75,6.611,synthetic_v1
ZD-SYN-00099,Women,Activewear,Gym Short,Fleece,70% Cotton / 30% Polyester,240-320,0.245,Label + Button Set,Dyed Knit Route,5.8,0.07,2.35,3.841,synthetic_v1
ZD-SYN-00100,Women,Top,Polo Shirt,Pique Knit,95% Cotton / 5% Elastane,180-220,0.281,Label + Drawcord,Performance Route,5.1,0.08,2.75,4.263,synthetic_v1
ZD-SYN-00101,Men,Outerwear,Sweatshirt,Fleece,70% Cotton / 30% Polyester,240-320,0.546,Label + Button Set,Standard Knit Route,5.8,0.07,1.95,5.187,synthetic_v1
ZD-SYN-00102,Women,Activewear,Active Legging,Interlock,88% Polyester / 12% Elastane,180-240,0.201,Label + Button Set,Performance Route,6.2,0.07,2.75,4.066,synthetic_v1
ZD-SYN-00103,Men,Bottom,Jogger,French Terry,80% Cotton / 20% Polyester,220-300,0.461,Label + Drawcord,Dyed Knit Route,5.55,0.08,2.35,4.989,synthetic_v1
ZD-SYN-00104,Unisex,Bottom,Sweatpant,French Terry,80% Cotton / 20% Polyester,220-300,0.539,Label + Drawcord,Dyed Knit Route,5.55,0.08,2.35,5.421,synthetic_v1
ZD-SYN-00105,Men,Top,Polo Shirt,Fleece,70% Cotton / 30% Polyester,240-320,0.286,Label + Hangtag,Dyed Knit Route,5.8,0.05,2.35,4.059,synthetic_v1
ZD-SYN-00106,Unisex,Activewear,Gym Short,Rib Knit,97% Cotton / 3% Elastane,180-260,0.26,Label + Button Set,Dyed Knit Route,5.0,0.07,2.35,3.72,synthetic_v1
ZD-SYN-00107,Unisex,Activewear,Active Legging,Fleece,70% Cotton / 30% Polyester,240-320,0.235,Label + Button Set,Dyed Knit Route,5.8,0.07,2.35,3.783,synthetic_v1
ZD-SYN-00108,Women,Top,Fashion Tee,Single Jersey,100% Cotton,140-180,0.157,Label + Hangtag,Standard Knit Route,4.65,0.05,1.95,2.73,synthetic_v1
ZD-SYN-00109,Unisex,Outerwear,Sweatshirt,Rib Knit,97% Cotton / 3% Elastane,180-260,0.65,Label + Button Set,Standard Knit Route,5.0,0.07,1.95,5.27,synthetic_v1
ZD-SYN-00110,Women,Activewear,Training Top,Pique Knit,95% Cotton / 5% Elastane,180-220,0.245,Label + Button Set,Standard Knit Route,5.1,0.07,1.95,3.269,synthetic_v1
ZD-SYN-00111,Men,Bottom,Legging,Single Jersey,100% Cotton,140-180,0.313,Label + Button Set,Performance Route,4.65,0.07,2.75,4.275,synthetic_v1
ZD-SYN-00112,Men,Outerwear,Hoodie,Rib Knit,97% Cotton / 3% Elastane,180-260,0.594,Label + Button Set,Dyed Knit Route,5.0,0.07,2.35,5.39,synthetic_v1
ZD-SYN-00113,Men,Activewear,Training Top,Interlock,88% Polyester / 12% Elastane,180-240,0.259,Label + Drawcord,Standard Knit Route,6.2,0.08,1.95,3.636,synthetic_v1
ZD-SYN-00114,Men,Outerwear,Sweatshirt,Rib Knit,97% Cotton / 3% Elastane,180-260,0.445,Label Set,Standard Knit Route,5.0,0.03,1.95,4.205,synthetic_v1
ZD-SYN-00115,Men,Activewear,Performance Tee,Single Jersey,100% Cotton,140-180,0.2,Label + Drawcord,Performance Route,4.65,0.08,2.75,3.76,synthetic_v1
ZD-SYN-00116,Women,Bottom,Sweatpant,Fleece,70% Cotton / 30% Polyester,240-320,0.578,Label + Button Set,Performance Route,5.8,0.07,2.75,6.172,synthetic_v1
ZD-SYN-00117,Unisex,Activewear,Performance Tee,French Terry,80% Cotton / 20% Polyester,220-300,0.203,Label Set,Standard Knit Route,5.55,0.03,1.95,3.107,synthetic_v1
ZD-SYN-00118,Men,Activewear,Performance Tee,Pique Knit,95% Cotton / 5% Elastane,180-220,0.148,Label + Hangtag,Performance Route,5.1,0.05,2.75,3.555,synthetic_v1
ZD-SYN-00119,Women,Top,Tank Top,French Terry,80% Cotton / 20% Polyester,220-300,0.103,Label + Drawcord,Dyed Knit Route,5.55,0.08,2.35,3.002,synthetic_v1
ZD-SYN-00120,Unisex,Activewear,Active Legging,Fleece,70% Cotton / 30% Polyester,240-320,0.233,Label Set,Performance Route,5.8,0.03,2.75,4.131,synthetic_v1
ZD-SYN-00121,Women,Activewear,Training Top,Single Jersey,100% Cotton,140-180,0.178,Label + Hangtag,Performance Route,4.65,0.05,2.75,3.628,synthetic_v1
ZD-SYN-00122,Men,Activewear,Training Top,Single Jersey,100% Cotton,140-180,0.231,Label + Hangtag,Dyed Knit Route,4.65,0.05,2.35,3.474,synthetic_v1
ZD-SYN-00123,Men,Activewear,Gym Short,Fleece,70% Cotton / 30% Polyester,240-320,0.2,Label + Button Set,Performance Route,5.8,0.07,2.75,3.98,synthetic_v1
ZD-SYN-00124,Women,Activewear,Gym Short,Single Jersey,100% Cotton,140-180,0.233,Label Set,Dyed Knit Route,4.65,0.03,2.35,3.463,synthetic_v1
ZD-SYN-00125,Men,Activewear,Performance Tee,Pique Knit,95% Cotton / 5% Elastane,180-220,0.222,Label Set,Performance Route,5.1,0.03,2.75,3.912,synthetic_v1
ZD-SYN-00126,Women,Top,Fashion Tee,Rib Knit,97% Cotton / 3% Elastane,180-260,0.155,Label + Drawcord,Dyed Knit Route,5.0,0.08,2.35,3.205,synthetic_v1
ZD-SYN-00127,Women,Outerwear,Zip Hoodie,Single Jersey,100% Cotton,140-180,0.623,Label + Drawcord,Dyed Knit Route,4.65,0.08,2.35,5.327,synthetic_v1
ZD-SYN-00128,Men,Activewear,Performance Tee,Interlock,88% Polyester / 12% Elastane,180-240,0.19,Label + Drawcord,Performance Route,6.2,0.08,2.75,4.008,synthetic_v1
ZD-SYN-00129,Men,Outerwear,Zip Hoodie,Fleece,70% Cotton / 30% Polyester,240-320,0.576,Label Set,Dyed Knit Route,5.8,0.03,2.35,5.721,synthetic_v1
ZD-SYN-00130,Unisex,Top,Tank Top,Single Jersey,100% Cotton,140-180,0.104,Label + Drawcord,Dyed Knit Route,4.65,0.08,2.35,2.914,synthetic_v1
ZD-SYN-00131,Unisex,Activewear,Gym Short,Fleece,70% Cotton / 30% Polyester,240-320,0.187,Label Set,Standard Knit Route,5.8,0.03,1.95,3.065,synthetic_v1
ZD-SYN-00132,Women,Bottom,Legging,French Terry,80% Cotton / 20% Polyester,220-300,0.203,Label + Drawcord,Standard Knit Route,5.55,0.08,1.95,3.157,synthetic_v1
ZD-SYN-00133,Women,Bottom,Shorts,Rib Knit,97% Cotton / 3% Elastane,180-260,0.221,Label Set,Performance Route,5.0,0.03,2.75,3.885,synthetic_v1
ZD-SYN-00134,Women,Bottom,Jogger,Single Jersey,100% Cotton,140-180,0.537,Label + Hangtag,Dyed Knit Route,4.65,0.05,2.35,4.897,synthetic_v1
ZD-SYN-00135,Women,Activewear,Active Legging,Fleece,70% Cotton / 30% Polyester,240-320,0.264,Label + Drawcord,Standard Knit Route,5.8,0.08,1.95,3.561,synthetic_v1
ZD-SYN-00136,Men,Bottom,Sweatpant,Rib Knit,97% Cotton / 3% Elastane,180-260,0.435,Label + Hangtag,Standard Knit Route,5.0,0.05,1.95,4.175,synthetic_v1
ZD-SYN-00137,Unisex,Outerwear,Sweatshirt,Interlock,88% Polyester / 12% Elastane,180-240,0.618,Label Set,Dyed Knit Route,6.2,0.03,2.35,6.212,synthetic_v1
ZD-SYN-00138,Women,Outerwear,Hoodie,Rib Knit,97% Cotton / 3% Elastane,180-260,0.55,Label + Drawcord,Dyed Knit Route,5.0,0.08,2.35,5.18,synthetic_v1
ZD-SYN-00139,Women,Outerwear,Sweatshirt,Pique Knit,95% Cotton / 5% Elastane,180-220,0.515,Label + Hangtag,Performance Route,5.1,0.05,2.75,5.427,synthetic_v1
ZD-SYN-00140,Women,Outerwear,Hoodie,French Terry,80% Cotton / 20% Polyester,220-300,0.724,Label + Drawcord,Performance Route,5.55,0.08,2.75,6.848,synthetic_v1
ZD-SYN-00141,Unisex,Outerwear,Sweatshirt,French Terry,80% Cotton / 20% Polyester,220-300,0.689,Label + Hangtag,Dyed Knit Route,5.55,0.05,2.35,6.224,synthetic_v1
ZD-SYN-00142,Men,Bottom,Legging,Fleece,70% Cotton / 30% Polyester,240-320,0.309,Label Set,Performance Route,5.8,0.03,2.75,4.572,synthetic_v1
ZD-SYN-00143,Women,Top,Fashion Tee,French Terry,80% Cotton / 20% Polyester,220-300,0.178,Label + Hangtag,Standard Knit Route,5.55,0.05,1.95,2.988,synthetic_v1
ZD-SYN-00144,Unisex,Activewear,Active Legging,French Terry,80% Cotton / 20% Polyester,220-300,0.211,Label + Drawcord,Performance Route,5.55,0.08,2.75,4.001,synthetic_v1
ZD-SYN-00145,Women,Activewear,Gym Short,French Terry,80% Cotton / 20% Polyester,220-300,0.164,Label + Drawcord,Performance Route,5.55,0.08,2.75,3.74,synthetic_v1
ZD-SYN-00146,Unisex,Top,Fashion Tee,French Terry,80% Cotton / 20% Polyester,220-300,0.2,Label + Button Set,Standard Knit Route,5.55,0.07,1.95,3.13,synthetic_v1
ZD-SYN-00147,Unisex,Outerwear,Hoodie,French Terry,80% Cotton / 20% Polyester,220-300,0.5,Label Set,Dyed Knit Route,5.55,0.03,2.35,5.155,synthetic_v1
